school_id,school_name,county_name,street,city,zip,locale_label,grade_band,school_type,school_type_detail,teachers_fte,enrollment,title_i_status,title_i_school,free_or_reduced_price_lunch,farm_pct,lunch_program,pvt_pct_nonwhite,school_status
240003000032,West Side Elementary,Allegany County,425 Paca St,Cumberland,21502,City small,ES,public,public,25,405,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,233,0.5753086419753086,Yes participating without using any Provision or the CEP,NA,Open
240003000033,Westernport Elementary,Allegany County,172 Church St,Westernport,21562,Town fringe,ES,public,public,17,273,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,273,1,Yes under the Community Eligibility Provision (CEP),NA,Open
240003001338,Cash Valley Elementary,Allegany County,10601 Cash Valley Rd Nw,Lavale,21502,Rural fringe,ES,public,public,24,269,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,165,0.6133828996282528,Yes participating without using any Provision or the CEP,NA,Open
240003001359,South Penn Elementary,Allegany County,500 E 2nd St,Cumberland,21502,City small,ES,public,public,40,566,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,566,1,Yes under the Community Eligibility Provision (CEP),NA,Open
240003001546,Mt. Savage Elementary,Allegany County,13201 New School Rd Nw,Mt Savage,21545,Rural fringe,ES,public,public,14,186,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,106,0.5698924731182796,Yes participating without using any Provision or the CEP,NA,Open
240003001636,Mountain Ridge High School,Allegany County,100 Dr. Nancy S. Grasmick,Frostburg,21532,Suburb small,HS,public,public,48,792,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,288,0.36363636363636365,Yes participating without using any Provision or the CEP,NA,Open
A0103986,The Jefferson School At Finan Center,Allegany County,10100 COUNTRY CLUB RD SE,CUMBERLAND,21501,Suburb small,MS/HS,private,private,12,56,NA,NA,NA,NA,NA,12.49,Open
A1101186,Flintstone Mennonite School,Allegany County,20020 W FLINTSTONE CREEK RD NE,FLINTSTONE,21530,Rural distant,All Grades,private,private,3,20,NA,NA,NA,NA,NA,0,Open
A1301522,Allegany Boys Camp,Allegany County,20700 WAGNER CUTOFF RD SE,OLDTOWN,21555,Rural distant,UG,private,private,6.9,30,NA,NA,NA,NA,NA,33.32,Open
A1701912,Cumberland Mennonite School,Allegany County,11619 BEDFORD RD NE,CUMBERLAND,21502,Suburb small,ES,private,private,1.6,7,NA,NA,NA,NA,NA,0,Open
A9902262,Lighthouse Christian Academy,Allegany County,2020 BEDFORD ST,CUMBERLAND,21502,City small,All Grades,private,private,10.6,83,NA,NA,NA,NA,NA,1.2,Open
K9303036,Beginnings Montessori School,Allegany County,15 N SMALLWOOD ST,CUMBERLAND,21502,City small,ES,private,private,4,65,NA,NA,NA,NA,NA,NA,Open
00577724,St John The Evangelist School,Anne Arundel County,669 RITCHIE HWY,SEVERNA PARK,21146,Suburb large,ES/MS,private,private,37.1,446,NA,NA,NA,NA,NA,9.26,Open
00577746,St Philip Neri Elementary School,Anne Arundel County,6401 S ORCHARD RD,LINTHICUM HEIGHTS,21090,Suburb large,ES/MS,private,private,22,368,NA,NA,NA,NA,NA,90.72999999999999,Open
00577881,Monsignor Slade Catholic School,Anne Arundel County,120 DORSEY RD,GLEN BURNIE,21061,Suburb large,ES/MS,private,private,27,549,NA,NA,NA,NA,NA,24.82,Open
00578091,St Mary Elementary School,Anne Arundel County,111 DUKE OF GLOUCESTER ST,ANNAPOLIS,21401,Suburb large,ES/MS,private,private,23.1,789,NA,NA,NA,NA,NA,4.43,Open
00578105,St Marys High School,Anne Arundel County,113 DUKE OF GLOUCESTER ST,ANNAPOLIS,21401,Suburb large,HS,private,private,34,495,NA,NA,NA,NA,NA,13.32,Open
00578728,Archbishop Spalding High School,Anne Arundel County,8080 NEW CT RD,SEVERN,21144,Suburb large,HS,private,private,87.9,1245,NA,NA,NA,NA,NA,13,Open
00579415,Indian Creek School,Anne Arundel County,680 EVERGREEN RD,CROWNSVILLE,21032,Suburb large,All Grades,private,private,52.5,556,NA,NA,NA,NA,NA,28.72,Open
00579765,St Pauls Lutheran School,Anne Arundel County,308 OAK MANOR DR STE 1,GLEN BURNIE,21061,Suburb large,ES/MS,private,private,19.8,325,NA,NA,NA,NA,NA,18.47,Open
00579958,St Martins Lutheran Church School,Anne Arundel County,1120 SPA RD,ANNAPOLIS,21403,Suburb large,ES/MS,private,private,NA,123,NA,NA,NA,NA,NA,NA,Open
00580067,Annapolis Area Christian School,Anne Arundel County,109 BURNS CROSSING RD,SEVERN,21144,Rural fringe,All Grades,private,private,85.6,911,NA,NA,NA,NA,NA,32.36,Open
00580191,Key School,Anne Arundel County,534 HILLSMERE DR,ANNAPOLIS,21403,Suburb large,All Grades,private,private,103.3,641,NA,NA,NA,NA,NA,26.200000000000003,Open
01933921,Book Of Life Academy,Anne Arundel County,913 CEDAR PARK RD,ANNAPOLIS,21401,Suburb large,ES,private,private,4.3,86,NA,NA,NA,NA,NA,92.5,Open
01933943,Calvary Baptist Church Academy,Anne Arundel County,407 MARLEY STATION RD,GLEN BURNIE,21060,Suburb large,All Grades,private,private,14.6,296,NA,NA,NA,NA,NA,45.14,Open
01933954,Granite Baptist School,Anne Arundel County,7823 OAKWOOD RD,GLEN BURNIE,21061,Suburb large,All Grades,private,private,18.3,273,NA,NA,NA,NA,NA,29.27,Open
01933976,Odenton Christian School,Anne Arundel County,8410 PINEY ORCHARD PKWY,ODENTON,21113,Suburb large,All Grades,private,private,18.4,146,NA,NA,NA,NA,NA,79,Open
02030521,Arnold Christian Academy,Anne Arundel County,365 JONES STATION RD,ARNOLD,21012,Suburb large,ES/MS,private,private,7.1,42,NA,NA,NA,NA,NA,14.28,Open
02030543,The Harbour School At Annapolis,Anne Arundel County,1277 GREEN HOLLY DR,ANNAPOLIS,21409,Suburb large,All Grades,private,private,46.8,351,NA,NA,NA,NA,NA,50.39000000000001,Open
240006000035,Annapolis Elementary,Anne Arundel County,180 Green Street,Annapolis,21401,Suburb large,ES,public,public,21,236,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,149,0.6313559322033898,Yes participating without using any Provision or the CEP,NA,Open
240006000036,Annapolis Middle,Anne Arundel County,1399 Forest Dr,Annapolis,21403,Suburb large,MS,public,public,76,1014,School is eligible for Title I Schoolwide program (SWP) but provides no program,Title I,609,0.6005917159763313,Yes participating without using any Provision or the CEP,NA,Open
240006000037,Annapolis High,Anne Arundel County,2700 Riva Rd,Annapolis,21401,Suburb large,HS,public,public,137,1981,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,854,0.43109540636042404,Yes participating without using any Provision or the CEP,NA,Open
240006000038,Arnold Elementary,Anne Arundel County,241 Peninsula Farm Road,Arnold,21012,Suburb large,ES,public,public,26,435,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,27,0.06206896551724138,Yes participating without using any Provision or the CEP,NA,Open
240006000039,Arundel Middle,Anne Arundel County,1179 Hammond Ln,Odenton,21113,Suburb large,MS,public,public,68,1043,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,175,0.16778523489932887,Yes participating without using any Provision or the CEP,NA,Open
240006000040,Arundel High,Anne Arundel County,1001 Annapolis Rd,Gambrills,21054,Suburb large,HS,public,public,114,2122,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,354,0.16682375117813383,Yes participating without using any Provision or the CEP,NA,Open
240006000041,Wiley H. Bates Middle,Anne Arundel County,701 Chase Street,Annapolis,21401,Suburb large,MS,public,public,63,622,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,268,0.43086816720257237,Yes participating without using any Provision or the CEP,NA,Open
240006000042,Chesapeake Bay Middle,Anne Arundel County,4804 Mountain Rd,Pasadena,21122,Suburb large,MS,public,public,76,1027,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,202,0.1966893865628043,Yes participating without using any Provision or the CEP,NA,Open
240006000043,Belle Grove Elementary,Anne Arundel County,4502 Belle Grove Road,Baltimore,21225,Suburb large,ES,public,public,22,290,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,245,0.8448275862068966,Yes participating without using any Provision or the CEP,NA,Open
240006000044,Belvedere Elementary,Anne Arundel County,360 Broadwater Rd,Arnold,21012,Suburb large,ES,public,public,36,546,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,63,0.11538461538461539,Yes participating without using any Provision or the CEP,NA,Open
240006000045,Benfield Elementary,Anne Arundel County,365 Lynwood Dr,Severna Park,21146,Suburb large,ES,public,public,27,434,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,11,0.02534562211981567,Yes participating without using any Provision or the CEP,NA,Open
240006000046,Bodkin Elementary,Anne Arundel County,8320 Ventnor Rd,Pasadena,21122,Suburb large,ES,public,public,34,565,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,52,0.0920353982300885,Yes participating without using any Provision or the CEP,NA,Open
240006000047,Broadneck Elementary,Anne Arundel County,470 Shore Acres Rd,Arnold,21012,Suburb large,ES,public,public,44,786,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,110,0.13994910941475827,Yes participating without using any Provision or the CEP,NA,Open
240006000048,Brock Bridge Elementary,Anne Arundel County,405 Brock Bridge Rd,Laurel,20724,Rural fringe,ES,public,public,44,617,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,395,0.640194489465154,Yes participating without using any Provision or the CEP,NA,Open
240006000049,Brooklyn Park Elementary,Anne Arundel County,200 14th Ave,Baltimore,21225,Suburb large,ES,public,public,29,415,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,276,0.6650602409638554,Yes participating without using any Provision or the CEP,NA,Open
240006000050,Brooklyn Park Middle,Anne Arundel County,200 Hammonds Ln,Baltimore,21225,Suburb large,MS,public,public,62,796,School is eligible for Title I Schoolwide program (SWP) but provides no program,Title I,441,0.5540201005025126,Yes participating without using any Provision or the CEP,NA,Open
240006000051,Cape St. Claire Elementary,Anne Arundel County,931 Blue Ridge Dr,Annapolis,21409,Suburb large,ES,public,public,37,613,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,50,0.08156606851549755,Yes participating without using any Provision or the CEP,NA,Open
240006000053,Central Elementary,Anne Arundel County,130 Stepney Ln,Edgewater,21037,Suburb large,ES,public,public,43,609,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,80,0.13136288998357964,Yes participating without using any Provision or the CEP,NA,Open
240006000054,Central Middle,Anne Arundel County,221 Central Ave E,Edgewater,21037,Suburb large,MS,public,public,80,1283,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,163,0.12704598597038191,Yes participating without using any Provision or the CEP,NA,Open
240006000055,South River High,Anne Arundel County,201 Central Ave  E,Edgewater,21037,Suburb large,HS,public,public,125,2179,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,224,0.10279944928866452,Yes participating without using any Provision or the CEP,NA,Open
240006000056,Central Special School,Anne Arundel County,140 Stepney Ln,Edgewater,21037,Suburb large,All Grades,public,public,19,139,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,35,0.2517985611510791,Yes participating without using any Provision or the CEP,NA,Open
240006000058,Chesapeake High,Anne Arundel County,4798 Mountain Rd,Pasadena,21122,Suburb large,HS,public,public,84,1379,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,208,0.15083393763596809,Yes participating without using any Provision or the CEP,NA,Open
240006000059,Corkran Middle School,Anne Arundel County,7600 Quarterfield Rd,Glen Burnie,21061,Suburb large,MS,public,public,50,639,School is eligible for Title I Schoolwide program (SWP) but provides no program,Title I,331,0.5179968701095462,Yes participating without using any Provision or the CEP,NA,Open
240006000060,Crofton Elementary,Anne Arundel County,1405 Duke Of Kent Dr,Crofton,21114,Suburb large,ES,public,public,42,749,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,54,0.07209612817089453,Yes participating without using any Provision or the CEP,NA,Open
240006000061,Crofton Woods Elementary,Anne Arundel County,1750 Urby Dr,Crofton,21114,Suburb large,ES,public,public,40,750,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,36,0.048,Yes participating without using any Provision or the CEP,NA,Open
240006000062,Davidsonville Elementary,Anne Arundel County,962 Central Ave West,Davidsonville,21035,Rural fringe,ES,public,public,37,656,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,42,0.06402439024390244,Yes participating without using any Provision or the CEP,NA,Open
240006000063,Deale Elementary,Anne Arundel County,759 Masons Beach Rd,Deale,20751,Town fringe,ES,public,public,19,217,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,34,0.15668202764976957,Yes participating without using any Provision or the CEP,NA,Open
240006000064,Eastport Elementary,Anne Arundel County,420 5th Avenue,Annapolis,21403,Suburb large,ES,public,public,22,241,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,187,0.7759336099585062,Yes participating without using any Provision or the CEP,NA,Open
240006000065,Edgewater Elementary,Anne Arundel County,121 Washington Rd,Edgewater,21037,Suburb large,ES,public,public,35,573,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,175,0.3054101221640489,Yes participating without using any Provision or the CEP,NA,Open
240006000066,Ferndale Early Education Center,Anne Arundel County,105 Packard Ave,Glen Burnie,21061,Suburb large,ES,public,public,11,125,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,87,0.696,Yes participating without using any Provision or the CEP,NA,Open
240006000067,Folger Mckinsey Elementary,Anne Arundel County,175 Arundel Beach Road,Severna Park,21146,Suburb large,ES,public,public,35,616,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,25,0.040584415584415584,Yes participating without using any Provision or the CEP,NA,Open
240006000068,Fort Smallwood Elementary,Anne Arundel County,1720 Poplar Ridge Rd,Pasadena,21122,Suburb large,ES,public,public,28,456,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,74,0.16228070175438597,Yes participating without using any Provision or the CEP,NA,Open
240006000069,Four Seasons Elementary,Anne Arundel County,979 Waugh Chapel Rd,Gambrills,21054,Suburb large,ES,public,public,39,681,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,60,0.0881057268722467,Yes participating without using any Provision or the CEP,NA,Open
240006000071,George T. Cromwell Elementary,Anne Arundel County,221 Olen Drive,Glen Burnie,21061,Suburb large,ES,public,public,22,321,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,146,0.45482866043613707,Yes participating without using any Provision or the CEP,NA,Open
240006000072,George Fox Middle,Anne Arundel County,7922 Outing Ave,Pasadena,21122,Suburb large,MS,public,public,58,863,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,275,0.3186558516801854,Yes participating without using any Provision or the CEP,NA,Open
240006000073,Georgetown East Elementary,Anne Arundel County,111 Dogwood Rd,Annapolis,21403,Suburb large,ES,public,public,29,319,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,264,0.8275862068965517,Yes participating without using any Provision or the CEP,NA,Open
240006000074,Germantown Elementary,Anne Arundel County,200 Windell Avenue,Annapolis,21401,Suburb large,ES,public,public,44,559,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,400,0.7155635062611807,Yes participating without using any Provision or the CEP,NA,Open
240006000075,Glen Burnie High,Anne Arundel County,7550 Baltimore Annapolis Blvd,Glen Burnie,21060,Suburb large,HS,public,public,125,2035,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,831,0.40835380835380836,Yes participating without using any Provision or the CEP,NA,Open
240006000076,Glen Burnie Park Elementary,Anne Arundel County,500 Marlboro Rd,Glen Burnie,21061,Suburb large,ES,public,public,36,556,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,335,0.6025179856115108,Yes participating without using any Provision or the CEP,NA,Open
240006000077,Glendale Elementary,Anne Arundel County,105 Carroll Rd,Glen Burnie,21060,Suburb large,ES,public,public,36,433,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,262,0.605080831408776,Yes participating without using any Provision or the CEP,NA,Open
240006000078,Hebron - Harman Elementary,Anne Arundel County,7660 Ridge Chapel Road,Hanover,21076,Suburb large,ES,public,public,48,786,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,357,0.4541984732824427,Yes participating without using any Provision or the CEP,NA,Open
240006000079,High Point Elementary,Anne Arundel County,924 Duvall Hwy,Pasadena,21122,Suburb large,ES,public,public,41,675,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,280,0.4148148148148148,Yes participating without using any Provision or the CEP,NA,Open
240006000080,Hillsmere Elementary,Anne Arundel County,3052 Arundel On The Bay Rd,Annapolis,21403,Suburb large,ES,public,public,27,405,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,113,0.27901234567901234,Yes participating without using any Provision or the CEP,NA,Open
240006000081,Hilltop Elementary,Anne Arundel County,415 Melrose Ave,Glen Burnie,21061,Suburb large,ES,public,public,49,739,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,580,0.7848443843031123,Yes participating without using any Provision or the CEP,NA,Open
240006000082,Jacobsville Elementary,Anne Arundel County,3801 Mountain Rd,Pasadena,21122,Suburb large,ES,public,public,38,572,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,128,0.22377622377622378,Yes participating without using any Provision or the CEP,NA,Open
240006000083,Jessup Elementary,Anne Arundel County,2900 Elementary School Ln,Jessup,20794,Suburb large,ES,public,public,33,538,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,193,0.3587360594795539,Yes participating without using any Provision or the CEP,NA,Open
240006000084,Jones Elementary,Anne Arundel County,122 Hoyle Ln,Severna Park,21146,Suburb large,ES,public,public,22,307,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,23,0.0749185667752443,Yes participating without using any Provision or the CEP,NA,Open
240006000085,Lake Shore Elementary,Anne Arundel County,4531 Mountain Rd,Pasadena,21122,Rural fringe,ES,public,public,22,316,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,68,0.21518987341772153,Yes participating without using any Provision or the CEP,NA,Open
240006000087,Lindale Middle,Anne Arundel County,415 Andover Rd,Linthicum,21090,Suburb large,MS,public,public,80,1129,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,532,0.4712134632418069,Yes participating without using any Provision or the CEP,NA,Open
240006000088,Linthicum Elementary,Anne Arundel County,101 School Ln,Linthicum,21090,Suburb large,ES,public,public,29,481,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,107,0.22245322245322247,Yes participating without using any Provision or the CEP,NA,Open
240006000089,Lothian Elementary,Anne Arundel County,5175 Solomons Island Rd,Lothian,20711,Rural fringe,ES,public,public,35,482,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,243,0.504149377593361,Yes participating without using any Provision or the CEP,NA,Open
240006000090,MacArthur Middle,Anne Arundel County,3500 Rockenbach Road,Fort Meade,20755,Suburb large,MS,public,public,77,957,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,418,0.4367816091954023,Yes participating without using any Provision or the CEP,NA,Open
240006000091,Magothy River Middle,Anne Arundel County,241 Peninsula Farm Rd,Arnold,21012,Suburb large,MS,public,public,49,727,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,91,0.12517193947730398,Yes participating without using any Provision or the CEP,NA,Open
240006000092,Manor View Elementary,Anne Arundel County,2900 Macarthur Rd,Ft Meade,20755,Suburb large,ES,public,public,24,286,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,67,0.23426573426573427,Yes participating without using any Provision or the CEP,NA,Open
240006000093,Marley Elementary,Anne Arundel County,715 Cooper Rd,Glen Burnie,21060,Suburb large,ES,public,public,52,852,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,437,0.5129107981220657,Yes participating without using any Provision or the CEP,NA,Open
240006000094,Marley Glen School,Anne Arundel County,200 Scott Ave,Glen Burnie,21060,Suburb large,All Grades,public,public,18,136,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,34,0.25,Yes participating without using any Provision or the CEP,NA,Open
240006000095,Marley Middle,Anne Arundel County,10 Davis Ct,Glen Burnie,21060,Suburb large,MS,public,public,67,842,School is eligible for Title I Schoolwide program (SWP) but provides no program,Title I,459,0.5451306413301663,Yes participating without using any Provision or the CEP,NA,Open
240006000096,Maryland City Elementary,Anne Arundel County,3359 Crumpton South,Laurel,20724,Suburb large,ES,public,public,32,425,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,318,0.7482352941176471,Yes participating without using any Provision or the CEP,NA,Open
240006000097,Mayo Elementary,Anne Arundel County,1260 Mayo Ridge Rd,Edgewater,21037,Suburb large,ES,public,public,21,320,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,31,0.096875,Yes participating without using any Provision or the CEP,NA,Open
240006000098,Meade Heights Elementary,Anne Arundel County,1925 Reece Road,Ft. Meade,20755,Suburb large,ES,public,public,30,399,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,229,0.5739348370927319,Yes participating without using any Provision or the CEP,NA,Open
240006000099,Meade High,Anne Arundel County,1100 Clark Road,Ft Meade,20755,Suburb large,HS,public,public,124,2039,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,835,0.40951446787641,Yes participating without using any Provision or the CEP,NA,Open
240006000100,Millersville Elementary,Anne Arundel County,1601 Millersville Rd,Millersville,21108,Suburb large,ES,public,public,25,337,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,46,0.13649851632047477,Yes participating without using any Provision or the CEP,NA,Open
240006000102,North Glen Elementary,Anne Arundel County,615 West Furnace Branch Rd,Glen Burnie,21061,Suburb large,ES,public,public,20,278,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,196,0.7050359712230215,Yes participating without using any Provision or the CEP,NA,Open
240006000103,Northeast High,Anne Arundel County,1121 Duvall Hwy,Pasadena,21122,Suburb large,HS,public,public,79,1375,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,358,0.26036363636363635,Yes participating without using any Provision or the CEP,NA,Open
240006000104,Oak Hill Elementary,Anne Arundel County,34 Truckhouse Rd,Severna Park,21146,Suburb large,ES,public,public,39,684,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,48,0.07017543859649122,Yes participating without using any Provision or the CEP,NA,Open
240006000105,Oakwood Elementary,Anne Arundel County,330 Oak Manor Dr,Glen Burnie,21061,Suburb large,ES,public,public,24,319,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,141,0.44200626959247646,Yes participating without using any Provision or the CEP,NA,Open
240006000106,Odenton Elementary,Anne Arundel County,1290 Odenton Rd,Odenton,21113,Suburb large,ES,public,public,33,488,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,171,0.35040983606557374,Yes participating without using any Provision or the CEP,NA,Open
240006000107,Old Mill Middle North,Anne Arundel County,610 Patriot Ln,Millersville,21108,Suburb large,MS,public,public,74,1064,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,470,0.4417293233082707,Yes participating without using any Provision or the CEP,NA,Open
